Employees State Insurance Corporation Hospitals and beds (as on 31.03.2017),,,
S. No.,States /UTs,Total No. of Hospital,Total No. of Beds
1,Andhra Pradesh,5,345
2,Assam,1,75
3,Bihar,3,50
4,Chandigarh [Adm.],1,70
5,Chhattisgarh,0,0
6,Delhi,4,1416
7,Goa,1,15
8,Gujarat,12,910
9,Himachal Pradesh,2,150
10,Haryana,7,781
11,Jammu & Kashmir,1,50
12,Jharkhand,3,210
13,Karnataka,11,1675
14,Kerala,12,1178
15,Madhya Pradesh,7,725
16,Meghalaya,0,0
17,Maharashtra,13,2390
18,Nagaland,0,0
19,Odisha,6,325
20,Puducherry,1,75
21,Punjab,8,647
22,Rajasthan,6,495
23,Sikkim,0,0
24,Tamil Nadu,10,1856
25,Telangana,7,907
26,Tripura,0,0
27,Uttar Pradesh,16,1886
28,Uttarakhand,0,0
29,West Bengal,14,3534
,Total,151,19765
,,,
Source: National Health Profile 2018.,,,
