S. No.,Name of State,No. of Hospitals,No. of beds
1,Assam,8,2357
2,Andhra Pradesh,1,306
3,Andaman & Nicobar Islands,1,107
4,Arunachal Pradesh,1,198
5,Bihar,2,348
6,Delhi,2,1993
7,Goa,2,175
8,Gujarat,5,666
9,Haryana,3,1458
10,Himachal Pradesh,6,699
11,Jammu & Kashmir,11,2643
12,Jharkhand,2,649
13,Karnataka,3,1090
14,Kerala,5,744
15,Madhya Pradesh,7,1402
16,Maharastra,11,4202
17,Manipur,1,74
18,Meghalaya,1,247
19,Nagaland,2,398
20,Odisha,2,147
21,Punjab,10,2990
22,Rajasthan,11,2115
23,Sikkim,2,247
24,Tamil Nadu,3,373
25,Telangana,3,764
26,Tripura,1,49
27,Uttarakhand,5,1402
28,Uttar Pradesh,15,4570
29,West Bengal,7,2107
,Total,133,34520
Source: Ministry of Defence,,,
